comment_id,processed_text
515069861139768,s purpose having power 24 03 t even charge phone coz ll fast asleep
1614093579487368,think group because power 3 days now
2198700187183517,thought zesco going update us current situation manchester united coach
8029215543854611,explain simpler terms
897215618497398,group e time sleeping still wakeup dark chalo ichi
1237631794251548,24 03 how make use scheduled time
1085032883086669,zambians should begin report zesco cpc want people follow deadline providing power proper manner supply power during day put deadline close
2004237213425905,1 electricity comes 01 gets cut 04 should wake start doing middle night 2 time announce 1 day deadline 3 40 seconds everyone fast typing those unit digits long 4 good news ve announcing doing countdown
1090654236363564,seen people ain t buying power months now due loadshedding now asking least buy k10 units ka
1128801438953530,power gone two days how gonna update information gunpoint should delivered like week two prepare ourselves know fully well electricity isn t stable goes comes wish whoever pr should seriously pull socks
875663987884472,s power how supposed check
464771859963167,ve just notified s power obviously restore 25th how even check upgrade
1073826027545472,most realistic way doing things
1731139997724597,sometimes people act like bunch primary children
1109530670544606,zesco limited jokers sometimes wait think scared disconnected mean only power 3 4 hours s than being disconnected don t think
1255783355660343,power how going update
1099465205216878,good news waiting
1294030878682173,hope won t steal money like last time made similar changes remember never refunded us
2120091688460696,good morning frank mfula sincerely apologize prolonged outage experiencing four days kindly counter check complaint number inbox further assistance kind regards patience m
1085032883086669,chomba lesa malembeka top post important information only facebook everyone sees post matotoli yankoko ababena
1085032883086669,mwaba patrick musonda cpc acc well
1085032883086669,chomba lesa malembeka imagine without power since monday don t even know power
1128801438953530,bebetty yenesha henry kapata good kind information
1289885832201841,those prepaid only numbers
450575424402275,power t check
592076799855818,how going check update because siyambwela malaiti kuno kwatu
3973528966211052,zesco limited must joking how going don t power 5 days now
1098733607909887,mine updated though big news informed
1085032883086669,zambians don t appreciate hardwork ain t y adults sum n ignorance highest level stupidity us power 3 weeks quiet blame president exporting power crucial time don t blame zesco sense reasoning high enough ll know zesco s job supply electricity make zambia electricity supply corporation making corporation y expect children obedient generation ignorant people make sick
1085032883086669,chomba lesa malembeka exactly well said mama honestly how power only midnight whole month
1085032883086669,richard chakontarichard chakonta same call just say complaint queue
1085032883086669,chomba lesa malembeka t even purchase units top
1128801438953530,bebetty yenesha gone two days straight didn t time update kaya happen now lol
2004237213425905,savatir sure
1629003687972560,only seeing today still update zesco limited
1262578571659737,zesco think problem
565883462703544,how update meter don t electricity people think very well offices
1121022023058539,moses muleba mumba people likes play mind
492310796602094,zed roasters inc doesn t work tried nothing showing
492310796602094,zed roasters inc read instructions carefully requires customer top token amount how without power
918822943645810,manje how suppose update meters doesn t
1301232927887051,kaili switch power update
1567383927241606,how supposed check don t power
489189780815451,how check don t power comes fast asleep please postpone deadline until next year power give us people don t seem understand going through
1076213584157956,s everyone went school read just update automatically system think frustration having power someone time start pressing those rubbish instructions
1350165329680177,how check meter s off due loadshedding nkalanikoni serious
1112572957094230,time supposed cos just seeing today 23rd
542578991983583,power zesco arrives like thief night before know s already gone truly insensitive such large institution deliver information manner well aware how erratic power supply kind reasoning highlights cannot well planned schedule
